customer_id,orig_month,age,income,debt_income,bureau_score,utilization,prev_delin_24m,tenure_months,amount,term_months,unemp,rate,infl,default_12m,months_since_orig,product_CC,product_PL,channel_Digital,channel_Partner,region_N,region_S
25,2024-01-07,42,96262.76,0.2081,688.8,0.2643,0,23,36402.14,12,4.745033147,7.574736898,4.712300248,0,12.02365308804205,1,0,1,0,1,0
26,2022-01-11,44,26798.09,0.4611,617.2,0.3257,0,39,78342.59,12,3.78765321,7.324045255,4.187300189,0,35.873850197109064,0,1,1,0,0,0
28,2023-01-07,24,37744.3,0.7455,628.3,0.4011,0,34,48563.25,24,4.33662585,7.137931136,4.360457309,0,24.014454664914584,0,1,1,0,1,0
29,2023-01-09,40,29824.79,0.4952,735.6,0.2756,0,42,11567.98,12,4.24895552,7.187629444,4.499249245,0,23.94875164257556,1,0,0,0,0,0
30,2023-01-10,46,12000.0,0.5707,723.3,0.0913,1,45,67241.76,24,4.263790345,7.227634283,4.488417007,0,23.915900131406044,0,1,1,0,0,1
31,2024-01-01,18,40296.3,0.7961,635.8,0.5834,0,5,22018.97,12,3.984338763,7.382953471,4.249540775,0,12.220762155059132,1,0,1,0,0,0
32,2023-01-12,41,56770.32,0.616,594.4,0.1705,0,25,45069.7,24,3.931777989,7.323930473,4.388642794,0,23.850197109067015,0,1,0,1,0,0
33,2023-01-10,19,26547.9,0.2856,660.6,0.082,0,111,64640.29,18,4.263790345,7.227634283,4.488417007,0,23.915900131406044,0,1,0,0,1,0
37,2024-01-06,40,54169.28,0.239,682.8,0.4522,0,31,17312.59,12,4.718611396,7.444710794,4.886401043,0,12.056504599211562,1,0,1,0,0,0
38,2024-01-03,33,27097.86,0.3589,674.5,0.2235,0,8,94087.0,24,4.335647963,7.37584152,4.507774789,0,12.155059132720105,0,0,0,1,1,0
39,2023-01-03,36,21998.22,0.2037,763.1,0.6739,1,49,52084.37,18,4.238973563,7.121038066,4.218749789,0,24.14586070959264,0,1,0,0,0,0
41,2023-01-08,48,21764.2,0.2021,605.3,0.2103,0,126,111535.97,24,4.100461817,7.236346454,4.459213836,0,23.98160315374507,0,1,0,0,0,0
42,2022-01-10,33,35063.4,0.3665,617.3,0.092,0,25,98760.29,12,4.014469884,6.908256307,4.278982567,0,35.90670170827858,0,1,0,1,1,0
44,2022-01-07,36,36022.4,0.3195,628.2,0.5581,0,55,27969.58,12,3.856963842,7.252470952,4.250438845,0,36.00525624178712,1,0,1,0,0,0
46,2024-01-02,38,12542.06,0.4542,694.4,0.626,1,32,25660.56,24,4.39192662,7.532135703,4.380185695,0,12.187910643889618,0,1,0,0,1,0
47,2022-01-05,46,49636.73,0.2184,653.2,0.5409,0,56,49201.2,24,3.897819438,7.32582242,4.446766349,0,36.070959264126145,0,1,0,0,0,1
48,2022-01-02,33,45209.11,0.3432,578.4,0.5671,0,23,97876.68,18,3.844001123,7.250053702,4.074260457,0,36.16951379763469,0,1,1,0,1,0
49,2023-01-07,24,30939.29,0.2112,589.3,0.4263,0,140,41127.21,24,4.33662585,7.137931136,4.360457309,0,24.014454664914584,0,1,1,0,1,0
50,2022-01-02,48,23362.68,0.3033,661.5,0.5308,1,108,12291.27,12,3.844001123,7.250053702,4.074260457,0,36.16951379763469,1,0,0,1,0,0
51,2022-01-06,35,56476.05,0.8539,674.1,0.2448,0,18,84777.25,24,3.934047735,6.987448656,4.245988283,0,36.038107752956634,0,1,1,0,1,0
52,2023-01-10,29,18903.66,0.3859,598.3,0.2675,1,69,170710.07,24,4.263790345,7.227634283,4.488417007,0,23.915900131406044,0,0,1,0,0,0
54,2023-01-08,30,39231.43,0.3122,724.3,0.2327,0,22,31390.06,12,4.100461817,7.236346454,4.459213836,0,23.98160315374507,1,0,1,0,0,1
58,2024-01-03,40,77976.6,0.0408,544.6,0.1299,0,15,47433.78,18,4.335647963,7.37584152,4.507774789,0,12.155059132720105,0,1,0,1,0,0
59,2023-01-07,45,19756.52,0.4187,743.4,0.2662,0,40,40666.26,18,4.33662585,7.137931136,4.360457309,0,24.014454664914584,0,1,0,0,0,0
60,2023-01-10,33,12100.69,0.2967,668.1,0.3838,0,5,88875.08,36,4.263790345,7.227634283,4.488417007,0,23.915900131406044,0,1,1,0,0,0
61,2022-01-12,39,13954.21,0.4743,622.0,0.4582,0,47,38285.39,18,4.067362364,7.176234322,4.197013693,0,35.84099868593955,0,1,1,0,0,0
62,2023-01-09,38,30127.37,0.6853,674.7,0.49,0,24,30695.17,12,4.24895552,7.187629444,4.499249245,0,23.94875164257556,1,0,1,0,0,0
63,2023-01-04,47,19746.6,0.8762,585.0,0.6927,0,59,199349.32,18,3.932457295,7.355438675,4.231368399,0,24.113009198423125,0,0,0,0,0,0
64,2022-01-11,43,43810.22,0.6001,678.8,0.5519,0,55,19655.86,12,3.78765321,7.324045255,4.187300189,0,35.873850197109064,1,0,0,0,0,1
66,2022-01-01,30,12000.0,0.3993,605.4,0.413,2,69,58032.66,12,4.024317818,6.890388636,4.257778239,1,36.202365308804204,0,1,1,0,0,0
67,2022-01-05,25,12016.34,0.6052,611.7,0.1967,1,26,221417.57,12,3.897819438,7.32582242,4.446766349,0,36.070959264126145,0,0,0,1,1,0
68,2022-01-09,29,25452.79,0.2005,725.6,0.4387,2,6,76827.67,18,3.986531818,7.16141948,4.283694559,0,35.939553219448094,0,1,1,0,0,1
70,2024-01-06,31,15521.81,0.1553,694.4,0.1524,0,69,83903.59,24,4.718611396,7.444710794,4.886401043,0,12.056504599211562,0,1,0,0,1,0
72,2022-01-09,51,29824.79,0.2709,631.5,0.2352,1,19,70060.49,24,3.986531818,7.16141948,4.283694559,1,35.939553219448094,0,1,0,1,0,0
73,2024-01-07,38,40553.83,0.5924,619.8,0.562,1,31,56122.13,12,4.745033147,7.574736898,4.712300248,0,12.02365308804205,0,1,0,0,0,0
74,2023-01-04,18,58512.82,0.3801,659.9,0.3459,2,60,72454.17,12,3.932457295,7.355438675,4.231368399,0,24.113009198423125,0,1,0,0,0,0
75,2023-01-09,26,32760.18,0.8165,684.9,0.5258,0,5,50700.43,18,4.24895552,7.187629444,4.499249245,0,23.94875164257556,0,1,1,0,1,0
76,2022-01-01,24,36037.89,0.7405,634.4,0.1858,0,37,317200.12,18,4.024317818,6.890388636,4.257778239,0,36.202365308804204,0,0,0,0,0,1
77,2024-01-02,38,40127.63,0.2495,708.9,0.4335,0,73,24674.4,12,4.39192662,7.532135703,4.380185695,0,12.187910643889618,1,0,1,0,1,0
79,2024-01-04,27,50965.52,0.3703,764.9,0.6025,3,66,43139.23,24,4.534438078,7.176895148,4.608903316,0,12.12220762155059,0,1,0,0,0,0
80,2022-01-07,42,42552.41,0.3067,708.6,0.3203,0,40,35027.41,12,3.856963842,7.252470952,4.250438845,0,36.00525624178712,0,1,1,0,1,0
81,2023-01-11,33,47196.22,0.3187,633.6,0.3347,1,51,47901.39,12,4.066831317,7.352794149,4.376935709,0,23.88304862023653,0,1,0,0,0,0
82,2022-01-12,47,15576.89,0.4123,691.3,0.624,0,18,30261.27,24,4.067362364,7.176234322,4.197013693,0,35.84099868593955,0,1,0,0,0,0
85,2022-01-08,43,39074.47,0.5164,738.4,0.3826,0,39,78604.59,12,4.127273188,7.278958033,4.289689804,0,35.972404730617605,0,1,1,0,0,0
86,2023-01-10,36,31684.4,0.3609,649.4,0.2005,0,96,19331.28,12,4.263790345,7.227634283,4.488417007,0,23.915900131406044,1,0,0,0,0,0
89,2024-01-06,39,34707.48,0.2084,695.3,0.5476,0,11,96661.31,18,4.718611396,7.444710794,4.886401043,0,12.056504599211562,0,1,0,0,0,0
90,2024-01-03,35,26568.02,0.2738,704.8,0.7184,0,20,14373.97,12,4.335647963,7.37584152,4.507774789,0,12.155059132720105,1,0,0,0,0,1
91,2022-01-02,32,80352.9,0.3557,675.5,0.5182,1,57,305495.02,12,3.844001123,7.250053702,4.074260457,0,36.16951379763469,0,0,1,0,0,1
93,2023-01-08,34,39828.2,0.2463,579.8,0.4194,0,50,43241.63,12,4.100461817,7.236346454,4.459213836,0,23.98160315374507,0,1,0,0,0,1
94,2022-01-04,27,27372.33,0.2625,624.4,0.3572,0,24,17556.55,12,3.904310797,7.088503347,4.285472969,0,36.10381077529566,1,0,0,1,0,1
95,2022-01-11,31,23330.39,0.6592,751.0,0.4584,0,12,20132.59,12,3.78765321,7.324045255,4.187300189,0,35.873850197109064,1,0,1,0,0,0
96,2023-01-11,46,21188.8,0.2663,777.6,0.366,0,19,72998.16,18,4.066831317,7.352794149,4.376935709,0,23.88304862023653,0,1,1,0,0,0
97,2024-01-07,34,32353.61,0.2976,604.4,0.4877,0,65,17896.24,12,4.745033147,7.574736898,4.712300248,0,12.02365308804205,1,0,1,0,1,0
98,2023-01-10,49,31242.44,0.5593,681.5,0.3223,0,46,264831.1,18,4.263790345,7.227634283,4.488417007,0,23.915900131406044,0,0,0,1,0,0
99,2024-01-02,25,42724.27,0.4691,721.2,0.2162,0,56,70363.89,12,4.39192662,7.532135703,4.380185695,0,12.187910643889618,0,1,1,0,1,0
101,2024-01-05,37,57616.75,0.0406,589.4,0.5927,0,23,36557.5,36,4.66179925,7.384581981,4.868221727,0,12.089356110381077,0,1,1,0,0,0
102,2023-01-04,43,49841.67,0.359,641.7,0.1253,1,114,62362.79,12,3.932457295,7.355438675,4.231368399,0,24.113009198423125,0,1,1,0,0,0
103,2024-01-04,30,12000.0,0.4195,598.2,0.18,0,22,31425.56,18,4.534438078,7.176895148,4.608903316,0,12.12220762155059,0,1,0,0,0,1
104,2024-01-02,42,14682.02,0.2266,685.9,0.6083,1,84,37833.85,12,4.39192662,7.532135703,4.380185695,0,12.187910643889618,1,0,0,0,0,0
105,2022-01-05,45,24172.6,0.2632,702.5,0.5767,0,89,32738.1,12,3.897819438,7.32582242,4.446766349,0,36.070959264126145,1,0,0,1,0,1
106,2022-01-03,46,32071.68,0.1647,641.5,0.7271,0,7,36191.22,24,3.983684207,6.886503953,4.319145974,0,36.136662286465175,0,1,1,0,0,0
107,2024-01-04,35,39003.58,0.148,659.4,0.2686,0,39,51839.28,18,4.534438078,7.176895148,4.608903316,0,12.12220762155059,0,1,0,0,0,0
108,2023-01-05,36,36519.79,0.3753,669.7,0.1553,0,47,53291.78,24,4.089298712,7.172670917,4.330956052,0,24.080157687253614,0,1,1,0,0,1
109,2024-01-02,21,25996.41,0.4717,638.7,0.3258,0,7,22464.41,12,4.39192662,7.532135703,4.380185695,1,12.187910643889618,1,0,1,0,0,0
110,2023-01-02,36,68874.36,0.4056,592.3,0.328,1,33,31950.01,18,3.983122144,7.351370137,4.300262184,0,24.178712220762154,0,1,0,1,0,0
111,2022-01-10,39,15824.84,0.14,632.2,0.2835,0,48,35695.16,12,4.014469884,6.908256307,4.278982567,0,35.90670170827858,1,0,0,0,0,0
112,2022-01-07,49,23916.55,0.0272,715.3,0.5884,0,22,50965.28,36,3.856963842,7.252470952,4.250438845,0,36.00525624178712,0,1,0,1,0,0
113,2023-01-05,24,21234.01,0.1861,686.6,0.5965,0,10,47867.89,12,4.089298712,7.172670917,4.330956052,0,24.080157687253614,0,1,1,0,1,0
115,2023-01-05,27,35733.34,0.4086,759.2,0.474,0,56,219158.33,36,4.089298712,7.172670917,4.330956052,0,24.080157687253614,0,0,1,0,0,0
116,2023-01-04,44,30243.45,0.2881,685.9,0.4633,0,36,153935.0,18,3.932457295,7.355438675,4.231368399,0,24.113009198423125,0,1,1,0,0,0
117,2024-01-01,18,37639.26,0.1492,687.4,0.5462,0,18,75488.03,24,3.984338763,7.382953471,4.249540775,0,12.220762155059132,0,1,0,0,0,1
119,2023-01-05,55,55989.69,0.0382,670.9,0.2992,0,66,55747.38,12,4.089298712,7.172670917,4.330956052,0,24.080157687253614,0,1,1,0,0,0
120,2024-01-01,42,22634.65,0.2657,761.7,0.5987,0,16,146890.63,18,3.984338763,7.382953471,4.249540775,0,12.220762155059132,0,0,1,0,0,1
121,2023-01-07,24,23111.1,0.4083,764.3,0.7813,0,10,18705.44,12,4.33662585,7.137931136,4.360457309,0,24.014454664914584,1,0,1,0,0,0
122,2024-01-02,35,39092.9,0.3449,628.6,0.5263,0,31,70515.34,24,4.39192662,7.532135703,4.380185695,0,12.187910643889618,0,1,1,0,0,1
123,2023-01-07,44,35608.07,0.3151,767.0,0.4915,0,20,65224.4,24,4.33662585,7.137931136,4.360457309,0,24.014454664914584,0,1,1,0,0,0
124,2024-01-03,41,36903.15,0.5571,588.4,0.2283,0,21,305518.86,12,4.335647963,7.37584152,4.507774789,0,12.155059132720105,0,0,1,0,0,0
125,2023-01-11,34,29999.05,0.0839,692.9,0.6621,0,21,36122.69,36,4.066831317,7.352794149,4.376935709,0,23.88304862023653,0,1,1,0,0,0
126,2024-01-05,29,15332.17,0.3374,651.9,0.0664,1,23,139526.86,18,4.66179925,7.384581981,4.868221727,0,12.089356110381077,0,0,1,0,0,0
128,2022-01-07,36,20718.72,0.04,825.2,0.3278,0,5,66276.97,18,3.856963842,7.252470952,4.250438845,0,36.00525624178712,0,1,1,0,0,0
129,2023-01-12,43,42787.62,0.1843,636.1,0.6431,0,56,85256.54,24,3.931777989,7.323930473,4.388642794,0,23.850197109067015,0,1,0,0,1,0
130,2023-01-07,40,35513.98,0.3277,666.3,0.3388,0,31,49219.13,24,4.33662585,7.137931136,4.360457309,0,24.014454664914584,0,1,0,1,1,0
131,2023-01-04,32,31028.78,0.5675,663.1,0.0534,0,23,39521.27,12,3.932457295,7.355438675,4.231368399,0,24.113009198423125,1,0,0,0,0,0
132,2022-01-11,49,23967.61,1.8345,757.6,0.0605,0,21,31960.11,12,3.78765321,7.324045255,4.187300189,0,35.873850197109064,1,0,1,0,0,0
133,2022-01-03,31,48107.09,0.4464,724.0,0.3657,0,32,65566.22,36,3.983684207,6.886503953,4.319145974,0,36.136662286465175,0,1,1,0,0,0
134,2023-01-05,40,29196.72,0.1598,685.3,0.2312,0,62,22215.53,12,4.089298712,7.172670917,4.330956052,0,24.080157687253614,1,0,1,0,0,1
136,2022-01-05,34,48704.75,0.131,668.1,0.663,0,33,30119.23,18,3.897819438,7.32582242,4.446766349,0,36.070959264126145,0,1,1,0,0,0
137,2023-01-06,34,76350.78,0.5509,712.0,0.4491,1,18,40204.96,24,4.236392246,7.320606602,4.445671202,0,24.0473061760841,0,1,0,0,1,0
140,2022-01-10,48,20249.21,0.1344,774.0,0.162,0,46,23520.41,12,4.014469884,6.908256307,4.278982567,0,35.90670170827858,1,0,0,0,0,0
141,2022-01-01,53,25785.78,0.5585,713.8,0.2273,0,42,89484.71,24,4.024317818,6.890388636,4.257778239,0,36.202365308804204,0,1,0,1,0,0
142,2024-01-05,49,43580.71,0.2486,688.6,0.4427,2,68,71739.72,18,4.66179925,7.384581981,4.868221727,1,12.089356110381077,0,1,1,0,0,0
143,2022-01-01,34,46053.5,0.1818,719.5,0.2531,0,29,14658.36,12,4.024317818,6.890388636,4.257778239,0,36.202365308804204,1,0,0,1,0,0
144,2023-01-01,49,31941.69,0.3343,630.6,0.1943,1,4,146616.63,18,3.936413418,7.112834541,4.26207551,0,24.21156373193167,0,0,1,0,0,0
145,2023-01-09,40,50089.93,0.5741,605.6,0.2024,0,82,269307.83,24,4.24895552,7.187629444,4.499249245,0,23.94875164257556,0,0,0,1,1,0
147,2022-01-04,25,31494.32,0.353,746.9,0.3217,2,41,43798.65,18,3.904310797,7.088503347,4.285472969,0,36.10381077529566,0,1,0,0,0,0
148,2024-01-04,49,42330.5,0.3885,774.5,0.6654,0,59,65413.96,12,4.534438078,7.176895148,4.608903316,0,12.12220762155059,0,1,0,0,0,0
149,2023-01-11,31,39869.34,0.5464,710.5,0.2799,0,33,269482.52,12,4.066831317,7.352794149,4.376935709,0,23.88304862023653,0,0,1,0,0,0
150,2022-01-06,47,42190.09,0.4552,664.3,0.6928,0,47,31746.15,12,3.934047735,6.987448656,4.245988283,0,36.038107752956634,1,0,0,0,0,0
153,2023-01-09,33,18023.78,0.362,665.3,0.3462,0,44,29933.64,12,4.24895552,7.187629444,4.499249245,0,23.94875164257556,1,0,0,0,0,1
155,2024-01-02,27,22769.03,0.4287,573.5,0.275,0,109,15902.26,12,4.39192662,7.532135703,4.380185695,0,12.187910643889618,1,0,1,0,0,1
158,2023-01-12,18,46990.81,0.618,754.0,0.3285,1,70,21931.25,12,3.931777989,7.323930473,4.388642794,0,23.850197109067015,1,0,1,0,0,0
159,2022-01-12,25,19411.23,0.4977,787.6,0.0521,0,33,454893.14,18,4.067362364,7.176234322,4.197013693,0,35.84099868593955,0,0,0,0,1,0
160,2022-01-07,29,12000.0,0.1781,656.8,0.4113,0,42,44050.34,24,3.856963842,7.252470952,4.250438845,0,36.00525624178712,0,1,1,0,0,1
161,2023-01-12,34,12000.0,0.3435,622.6,0.1341,0,88,37759.72,12,3.931777989,7.323930473,4.388642794,0,23.850197109067015,1,0,0,1,1,0
162,2022-01-09,38,28496.58,0.7419,562.0,0.1599,1,22,88403.53,12,3.986531818,7.16141948,4.283694559,0,35.939553219448094,0,1,1,0,0,0
165,2022-01-11,39,30600.86,0.3902,615.7,0.12,0,34,198721.56,18,3.78765321,7.324045255,4.187300189,0,35.873850197109064,0,0,1,0,0,0
166,2023-01-12,33,47006.95,0.375,638.0,0.3185,0,55,14667.1,12,3.931777989,7.323930473,4.388642794,0,23.850197109067015,1,0,1,0,0,0
167,2022-01-03,44,29895.56,0.3074,703.7,0.436,0,81,47489.02,12,3.983684207,6.886503953,4.319145974,0,36.136662286465175,1,0,1,0,0,0
168,2022-01-08,31,39142.82,0.7377,772.0,0.5622,0,13,18121.22,24,4.127273188,7.278958033,4.289689804,0,35.972404730617605,0,1,1,0,0,0
169,2023-01-04,42,12000.0,0.1983,606.0,0.5958,0,26,29366.84,12,3.932457295,7.355438675,4.231368399,0,24.113009198423125,1,0,0,1,0,0
172,2024-01-03,37,31203.55,0.2596,578.7,0.5214,0,36,31267.04,12,4.335647963,7.37584152,4.507774789,1,12.155059132720105,1,0,1,0,0,0
173,2024-01-01,40,13717.05,0.152,642.4,0.361,0,15,28042.13,24,3.984338763,7.382953471,4.249540775,0,12.220762155059132,0,1,1,0,0,0
174,2023-01-12,28,20313.92,0.3882,763.4,0.4061,0,30,209659.47,24,3.931777989,7.323930473,4.388642794,0,23.850197109067015,0,0,0,0,0,0
175,2022-01-03,35,19149.99,0.2513,674.9,0.1449,1,29,55209.36,24,3.983684207,6.886503953,4.319145974,0,36.136662286465175,0,1,1,0,0,0
176,2023-01-04,28,17728.7,0.726,770.7,0.5164,0,94,70668.07,12,3.932457295,7.355438675,4.231368399,0,24.113009198423125,0,1,1,0,0,0
178,2023-01-06,42,26280.89,0.2467,745.0,0.3248,1,60,35740.2,12,4.236392246,7.320606602,4.445671202,0,24.0473061760841,1,0,1,0,0,0
179,2022-01-09,63,27857.89,0.3394,629.0,0.3237,0,78,59722.19,36,3.986531818,7.16141948,4.283694559,0,35.939553219448094,0,1,0,0,0,1
180,2022-01-11,36,52046.98,0.3299,668.9,0.5275,0,42,34964.89,12,3.78765321,7.324045255,4.187300189,0,35.873850197109064,1,0,1,0,0,0
181,2024-01-06,42,37578.24,0.2258,764.2,0.1044,1,20,39551.44,24,4.718611396,7.444710794,4.886401043,0,12.056504599211562,0,1,0,1,0,0
182,2022-01-02,37,35659.05,0.7256,612.8,0.1962,0,79,197028.02,12,3.844001123,7.250053702,4.074260457,0,36.16951379763469,0,0,0,0,0,0
185,2023-01-12,45,51042.44,0.4218,700.5,0.7805,1,19,27892.75,36,3.931777989,7.323930473,4.388642794,0,23.850197109067015,0,1,0,0,0,0
186,2023-01-08,39,38464.72,0.1693,746.3,0.0742,0,52,48704.41,36,4.100461817,7.236346454,4.459213836,0,23.98160315374507,0,1,1,0,0,0
188,2023-01-12,48,26311.66,0.3352,674.5,0.3564,0,29,31013.13,24,3.931777989,7.323930473,4.388642794,0,23.850197109067015,0,1,1,0,0,0
189,2023-01-09,21,29824.79,0.0535,745.1,0.2625,0,78,58254.22,36,4.24895552,7.187629444,4.499249245,0,23.94875164257556,0,1,1,0,0,0
190,2023-01-02,39,20539.31,0.4413,664.5,0.2139,0,78,54281.9,18,3.983122144,7.351370137,4.300262184,0,24.178712220762154,0,1,1,0,0,0
191,2023-01-07,37,30038.23,0.5421,646.4,0.2293,1,8,171966.01,12,4.33662585,7.137931136,4.360457309,1,24.014454664914584,0,0,0,0,0,1
193,2022-01-03,28,26655.67,0.5123,680.7,0.1301,0,155,15967.55,12,3.983684207,6.886503953,4.319145974,0,36.136662286465175,1,0,0,0,0,0
194,2022-01-02,32,28082.36,0.2785,713.0,0.2531,0,58,92006.34,36,3.844001123,7.250053702,4.074260457,0,36.16951379763469,0,1,1,0,1,0
195,2024-01-07,29,37214.57,0.2947,644.1,0.202,0,52,154780.34,18,4.745033147,7.574736898,4.712300248,0,12.02365308804205,0,1,0,1,0,0
196,2023-01-04,37,49918.65,0.3027,763.1,0.3344,1,59,64476.46,24,3.932457295,7.355438675,4.231368399,0,24.113009198423125,0,1,1,0,0,1
198,2022-01-02,43,37442.38,0.4399,737.5,0.4706,0,14,57791.19,18,3.844001123,7.250053702,4.074260457,0,36.16951379763469,0,1,1,0,0,1
200,2022-01-06,39,47593.28,0.6887,712.4,0.5258,0,53,152573.29,12,3.934047735,6.987448656,4.245988283,0,36.038107752956634,0,0,0,1,0,1
201,2023-01-06,33,13820.68,0.5259,644.7,0.3236,0,52,48261.84,12,4.236392246,7.320606602,4.445671202,0,24.0473061760841,0,1,1,0,1,0
203,2022-01-05,32,43648.86,0.2963,669.1,0.2641,0,48,65443.91,18,3.897819438,7.32582242,4.446766349,0,36.070959264126145,0,1,0,1,0,0
204,2024-01-04,46,36596.5,0.3402,788.3,0.3194,0,71,59419.3,12,4.534438078,7.176895148,4.608903316,0,12.12220762155059,0,1,0,0,0,0
205,2024-01-07,41,23478.6,0.6415,758.2,0.3209,1,27,87388.9,18,4.745033147,7.574736898,4.712300248,0,12.02365308804205,0,1,1,0,0,1
206,2023-01-06,54,42996.07,0.347,654.6,0.5881,0,11,107551.82,12,4.236392246,7.320606602,4.445671202,0,24.0473061760841,0,1,1,0,0,1
207,2022-01-04,33,21394.97,0.0544,720.8,0.3238,0,23,124513.89,12,3.904310797,7.088503347,4.285472969,0,36.10381077529566,0,0,0,0,1,0
208,2023-01-10,49,16967.99,0.1815,589.4,0.5366,1,48,37756.89,36,4.263790345,7.227634283,4.488417007,1,23.915900131406044,0,1,0,1,0,0
209,2023-01-07,31,35586.28,0.61,610.1,0.7339,1,84,31289.6,18,4.33662585,7.137931136,4.360457309,1,24.014454664914584,0,1,0,0,0,0
211,2024-01-05,27,42006.47,0.5662,664.0,0.4993,0,37,62488.69,24,4.66179925,7.384581981,4.868221727,0,12.089356110381077,0,1,0,0,0,1
212,2023-01-03,41,116588.55,0.4515,594.0,0.1534,0,59,52006.27,12,4.238973563,7.121038066,4.218749789,0,24.14586070959264,0,1,1,0,0,0
213,2022-01-03,36,29824.79,0.5246,609.0,0.0963,0,8,267874.07,18,3.983684207,6.886503953,4.319145974,0,36.136662286465175,0,0,0,1,0,0
214,2024-01-01,42,45399.51,0.2177,616.2,0.3272,0,50,52649.91,18,3.984338763,7.382953471,4.249540775,0,12.220762155059132,0,1,1,0,0,0
215,2022-01-12,50,22684.91,0.1687,767.1,0.4114,0,49,31473.14,12,4.067362364,7.176234322,4.197013693,0,35.84099868593955,0,1,0,0,0,0
216,2024-01-05,36,28379.01,0.3638,651.2,0.2078,0,167,26156.31,12,4.66179925,7.384581981,4.868221727,0,12.089356110381077,1,0,0,0,1,0
218,2023-01-03,44,29824.79,0.0824,674.7,0.0908,0,34,62954.87,18,4.238973563,7.121038066,4.218749789,0,24.14586070959264,0,1,1,0,0,1
220,2023-01-10,31,13116.89,0.8463,746.8,0.3828,0,64,13251.16,12,4.263790345,7.227634283,4.488417007,0,23.915900131406044,1,0,1,0,0,0
221,2023-01-11,39,12000.0,0.1752,718.9,0.4086,0,29,84646.55,18,4.066831317,7.352794149,4.376935709,0,23.88304862023653,0,1,0,0,1,0
226,2022-01-07,40,16876.36,0.3358,679.0,0.4584,0,9,59708.79,36,3.856963842,7.252470952,4.250438845,0,36.00525624178712,0,1,1,0,0,0
227,2023-01-06,47,20072.09,0.402,670.0,0.513,0,47,72535.66,36,4.236392246,7.320606602,4.445671202,0,24.0473061760841,0,1,1,0,0,0
229,2023-01-01,39,19802.93,0.1504,653.8,0.7307,2,55,37378.67,36,3.936413418,7.112834541,4.26207551,0,24.21156373193167,0,1,1,0,1,0
230,2022-01-01,30,39060.29,0.691,655.9,0.1808,0,21,56311.68,36,4.024317818,6.890388636,4.257778239,0,36.202365308804204,0,1,0,0,0,0
231,2024-01-01,38,51875.72,0.0678,710.5,0.5661,0,15,67709.21,12,3.984338763,7.382953471,4.249540775,0,12.220762155059132,0,1,1,0,0,0
235,2024-01-04,39,34061.54,0.1787,806.0,0.1787,0,58,33017.2,18,4.534438078,7.176895148,4.608903316,0,12.12220762155059,0,1,1,0,1,0
